Esquema Terapêutico,Frequência
"DOCETAXEL, ADRI",24
A.T,24
DOCETAXEL AC,24
TAXOL+PLATINA,24
TAXOTERE/ADRIA,24
"GRANULOKINE, AD",24
ZMT+ZOLA+ANAS,24
TRASTUZUMABETMX,24
CARBOPACLI,24
TRAST+DOCE+CARB,24
ADMCPM,24
TAXOL+CARBO+AC,24
FULVESTRA+ZOME,24
A.,24
PACLITAXEL(TAXO,24
TCH NEO,24
FAC x,24
TRASTUZUMABEANA,24
AC T/HERCEPTIN,24
"DOCETAXEL, AC",24
ARIMIDEX1MG,24
EPI/TAXOL,24
"CTX,DOXO",24
"GRANULOKINE, PA",24
PACLITAXEL/ARED,24
HERCEP+PTX,24
HCP/DCT/CB,24
FAC-(FLUO+DOXO,24
FAC/TA,24
txt+herceptin,24
Pacltaxel+Tras,24
TRASTU/TAXOL,24
AC- T- H,24
EXEMEEXEMESTANO,24
CARBOPLATINA PA,24
TRASTUZUMABE+DO,24
CARBO+TAXEL,24
DOCETAXELCARBO,24
TT,24
TC/CARBO,24
3XFAC,24
FAC3X,24
TRASTUZUMABI,24
"TAXILAN, AC",24
AC _T,24
TC/HERCEPTIN,24
TRASTUZU+DOCETA,24
AC TNEOADJUVAN,24
FAC>T,24
dc-ac,24
DEXA+CICLO+DOXO,24
CMF(CICLOFOSFAM,24
CARBOGENCITABIN,24
DOXO96+CTX960,24
TAXOL-TH,24
AC -PACLITAXEL,24
5FU+DOXO+CICLO,24
34+46+29+120,24
AC-T.,24
GZ+CDDP,24
cicloFOSFAMIDA1,24
TAXOL+AC+HERCEP,24
TRAST/DOCE/CB,24
TRAST/DOCET/CAR,24
DOXOR/CICLOF,24
HERCEP/ANASTROZ,24
CICLOFOS/DOXORR,24
TC /CEPTIN,24
DOXURRUBICINA,24
Cisplatina+Doxo,24
HCP/AA,24
AC/TAANE,24
4AC+4T(DOXO+CIC,24
AC +Txt + H,24
AC_TAXOL,24
TMX+HERCEPTIN,24
"CTX,ADRIA,",24
PACLI+TRASTU,23
GENZA,23
FAC/TAXOTERE,23
DOXO+CICLO/TAXO,23
"TAXOL,HERCEPTIN",23
FEC/HERCEP,23
ANTRACICLINA+CI,23
TXT-AC,23
AC- TAXANE,23
CISPLATINA + GE,23
FLUOR,23
CAPE+FASLO+ZOME,23
AC-TX,23
LETRO,23
CICLO+DOCE,23
AC+TC,23
FACx,23
T dootocoloACT,22
CISPLATINA/ADRI,22
dch,22
5FU+ADM,22
EC-D,22
TX/CARBO,22
CARBO+DOCE+HERC,22
AC +C,22
CARBOPL+TAXOL,22
PACLIT+TRASTUZU,22
T A C,22
4T,22
Taxolsemanal,22
DOXORRUBICINA C,22
ADRIAMICINA/CI,22
CAP,22
IA,22
"ANASTROZOL, TRA",22
4AC +2T,22
CISPLA+GENCITA,22
FAC-TA,22
HERCEP/TAXOL,22
4AC+12TH,22
H4P4,22
ACDDTH,22
AC+P,22
AC/ TXT,22
"CARBOPLATINA,DO",22
FULVEST+ZOMETA,22
TAMOXIFENO/ARED,22
AC-T/ZOMETA,22
AC: TXT,22
CICLO/FLUOR/DOX,22
CARBO+ PACLI,22
TAXOL+TTZ,22
AC DO,22
FLOX,22
TRASTUZU/CARBO,22
EPI/CISPLATINA,22
AC/ T,22
ADRIA/TAXOL,22
"ACT,CARBO",22
"AC, CARBO, PACL",22
TXT E,22
DOCE/TRASTU,22
HERECPTIN,22
CARBO+ TAXOTER,22
120+145,22
ect,22
DOCETAXEL/EPI,22
CA,22
ACdd,22
TAXOL+EPI,22
AC: ADM+CTX+TAX,22
paclitaxel+tras,22
DOCETAXEL/CISPL,22
DOXORRUBICINATR,22
DOCETAXEL GRANU,22
GEMZAR+CDDP,21
PACLI+TRAST,21
"doxo,iclo",21
ac-txt/hercepti,21
"VINORELBINA, TT",21
CICLOFOS+DOCETA,21
HERC+PTX,21
carbo+taxol,21
AC-T(ADRI+CICLO,21
TRASTUZUMABE+PA,21
MEGESTAT,21
TRASTUZUMABE +,21
ACT +HCP,21
TAXOL+GENZAR,21
HT,21
TAXOL CARBO,21
AC CICLO,21
NAO INFORMADO,21
AC-T+CARBO,21
DOXORR+CICLOF,21
AC+TAXANOS,21
FARMORRUB+TAXOL,20
trastuzumabe+AC,20
ACT HERCEPTIN,20
AC-T_,20
TaxoleCarbo,20
AC--T,20
AC/PALITAXEL,20
CICLOFO+ZOMETA,20
FOLFOX,20
"AC, DOXORRUBICI",20
CARBOTAXOLHERCE,20
AD+CI,20
"TAXOL,AC,CARBOP",20
T- AC,20
vinorelbina+her,20
"CARBOPLASTINA,",20
DOXO/ICLOPACLI,20
ADM +CTX,20
TRAS/CARBO/DOCE,20
AC /etaxel,20
DOCE+CARBO+HERC,20
"GENUXAL, DOCETA",20
046-DOXORRUBICI,20
AC- TCETAXEL,20
"HERCEPTIN,TAXOL",20
CDDP/GZ,20
DOCETAXEL+TRANS,20
AC+GRANULOKINE,20
ACTX,20
HERCEPTIN +PACL,20
TE,20
PACLITAXEL+DOXO,20
Trastuzumabe+Ca,20
AC +DOCET,20
PERTUZUMABE+TRA,20
TXT-H,20
AC/PACLI+CARBO,20
AC+CARBO+TAXOL,20
AC /DOCETAXEL,20
TRASTU/DCT/CB,20
AC-G,20
AC =T,20
CISPLATINAGENCI,20
PC,20
AC-TXT +H,20
PACL+DOX,20
DOCE/ARBO,20
TAXOL180 MG,20
PCT/PAMIN/ZOLA,20
AC-THTRASTUZUM,20
TAXOLSEM,20
PERJETA+HERCEPT,20
ACt,20
AC: ADM+CTX+HER,20
AC- DOXO+CICLO,20
AC pa,20
AC DH,20
AC/Taano,20
"TAXOTERE,AC",20
A/C -T,20
CARBOPLATINA D,20
trastuzumabe+pe,20
TC -,20
taxolsemanal,20
PACLITAXEL TRAS,20
GEMZAR+TAXOL,20
TAXOL+AREDIA,20
"DOCETAXEL,CICLO",19
TAMOXIFENO 20,19
DOCETAX+HERCEPT,19
AC+ PACLITAXEL,19
AL,19
AC DDT,19
AC TXTH,19
anz,19
TAXOL+CDDP,19
ac +T,19
doce/erceptin,18
ACX,18
carbotaxolac,18
CARBO/TAXOL/TRA,18
CICLOF+DOCE+FIL,18
FACX3,18
AC/CARBO,18
trastuzumabe+pa,18
"ZOMETA, CICLOFO",18
PACLITAXELHERC4,18
Arimidex,18
DOXOCILCO,18
AC X6,18
ADRIA+CTX,18
TAXOL ADRIA CI,18
DOCE/HERCEPTIN/,18
BFM,18
TC/HECEPTIN,18
"XELODA,",18
DOCE+CICLOF,18
TAMOXTAMOX,18
AC->TxT,18
CARBO/TAXEL,18
ac-trceptin,18
HCP/DOCE/CB,18
DOCETACELCISPL,18
TAXOL/TRANSTUZU,18
CICLO/DOCE,18
"TAC,",18
"DOXORRUBICINA,T",18
TRASTU+PACLITA,18
CARBOPLATINA T,18
AC CONVENCIONAL,18
T-ac,18
tc-h,18
TAX+TMF,18
DOX+T,18
TCX6,18
"ACT,HERCEPTIN,",18
"AC, HERCEPTIN,",18
TAXOL(MENSAL),18
DOCET+CARBOPLAT,18
CICLO/DOXO/TA,18
Trastuzumabe+Do,18
DOXO/ICLOFOSFAM,18
ARIMIDEX+HERCEP,18
CIS/GENZAR,18
4AC+12TX+17TZT,18
AC-TCLITACEL,18
AC+ta,18
AC /ETAXEL,18
CICLOFOSF/DOCET,18
"AC-PACLITAXEL,T",18
"4AC/8T, TRASTUZ",18
SC,18
"GEMZAR, VINOREL",18
ACT__,18
AC- PLITAXELECA,18
"TAMOXIFENO, ZOL",18
adrimicinaciclo,18
VO,18
DTX+CARBO+TZT,18
ACTC+HERCEPTIN,18
TAXOL/XELODA,18
cicloherceptin,18
NEOADJUVANTE,18
HERCEPTIN + PAC,18
DC/HERCEPTIN,18
"CICLO,FU,DOXO",18
"TRASTUZUMABE, P",18
ACT +ERCEPTIN,18
12T 4AC,18
"AC,DOXORRUBICIN",18
Zometa,18
carboplatinaher,18
AC- PACLITAXEL,18
AREDIA,18
TXT +AC,18
4 AC+ 4 TAXOL,18
ZMT+XELODA,18
CarboDocetaxel,18
"TC, 029 - Carbo",18
TAXOL+HERCE,18
ac +txth,18
CISPLATINA+PACL,18
4 AC12 PTX,18
Ciclo+Daxo,18
AC-CICLO/DOXO/P,18
ADRIA/CICLO/ACT,18
CARBOPLA+TAXOTE,18
CARBO+PACLITA,18
DOXO+CICLOF,18
TRAST+TAXOL,18
DoxoCiclo,18
"CARBO,TAXOL",18
AC +PACLITAXEL,18
AC  TAXOL,18
A.C.+T,18
TAXOL/CTX,18
DOCE/TRAST/CARB,18
AC+TAX+CARBO,18
TAXOTERE/CICLOF,18
TAXOL/CICLO,18
GENCITABINA/CIS,18
"FLUOUROURACIL,",18
"TRASTUZUMAB, LE",18
AC+RT,18
AC-TRSTUZUMABE,18
AC/HERCEPTIN,18
AC+TxT+HCP,18
ELIT,18
ADRI/CIS,18
AC- TANE,18
AC/GRNULOKINE,18
TRASTU/DOCETAXE,18
AC+PCT/CB,18
TRASTUANA,18
CICLO/MTX/FLUOR,18
DOXORUBICINA,18
HERCEPT+PACLITA,18
CICLODOXOHERCEP,18
DOCET+HERCEPTIN,18
AC-T20),18
DOCE+CAPE,18
TAXOTE+CICLOF,18
ADRIAMICINA/FLU,18
PTX +EC,18
4 AC+4T,18
PaclitaxeleTras,18
TMOXIFENO,18
P/A,18
ACT+TAXOL,18
TAXOL/ADRIA/CTX,18
12T 4,18
CICLOFO/DOXORRU,18
cth,18
PACLITAXELHERC5,18
"HERCEPTIN, VINO",18
ciclodoxo,18
PACLITAXOL,17
TAC+GRANULOKINE,17
"AC, TXT",17
AC-CICLO/DOX/PA,17
ADMCPM TAXOL,17
HERCEPTIN + DOC,17
FEC 100,17
AC +txt,17
AC/PCT/FILGRAST,17
4AC X4TXT,17
cap,17
Taxol+ HCP,17
CARBO+ PTX,17
ACT /RCEPTIN,17
fac/taxotere,17
FAC/DOCETAXEL,17
AC -TXT + H,17
ADRIA+CICLOFOSF,17
PTX D1,17
taxol+ AC,17
AC >T,17
FAC+TXT+HERCEPT,17
"HERCEPTIN, CARB",17
FULVESTRANO,17
AC TAX,17
AC-TXT + H,17
ANASTROZOL+TCHP,17
TAXOLFAC,17
ac-docetaxel /h,17
"TAXOL,TRASTUZUM",17
AC +TC,16
145+120,16
AC/CABOTAXOL,16
AC+4T,16
AC-TACITAXEL,16
ADRI/CICLO,16
4ACDD12T,16
DOCE+CICLOFOSFA,16
XELODA 500MG,16
TRASTUZU/ANASTR,16
CARBOPACLITAXEL,16
LETROZOL+HERCEP,16
DOCE+HERCEPTIM,16
AC -RBO,16
28,16
TXT-A,16
ac +txt + H,16
"GEMZAR,CISPLATI",16
TAMOXIFENO+CTX,16
MF/TRANSTUZUMAB,16
4AC +AXOL,16
"TAXOL, CTX",16
"CISP,CAMP,OSTAC",16
DOXO+CICLO+TRAS,16
AC+PTX+TZT,16
"TRASTUZUMABE,",16
taxole carbi,16
TAXOL160 MG,16
CICLO/EPIRRUBIC,16
PECITABINA HERC,16
DOCEERCEPTINPE,16
"HERCEPTIN,PACLI",16
GENUXAL/ADRIA,16
DOCETAXEL/CFM,16
"CTX,PACLITAXEL",16
trast-pacl,16
AC+T_,16
46+34,16
AC PTX + TZT,16
TAXOL+CISPLATIN,16
ac+taxotere,16
AC-TLACITAXEL),16
PTX +AV,16
4AC 4TXT,16
ana,16
DOCE+CICLOFOS,16
GENZAR CISPLATI,16
ANATROZOL,16
12 PTX + 4AC,16
Carbo,16
PTX AC,16
CISPLATINA/XELO,16
TC H,16
5FU/DOXO/CICLO,16
AC /TxT,16
CARBO+TAXO,16
35+85,16
PTX+CARBO+AC,16
CARBO+TAXOL+HER,16
ESTRADIO+ZOMETA,16
TAXILAN AC,16
069DOCETAXEL+14,16
AC+txt+hercepti,16
DOCETAXEL/GENUX,16
T-CA,16
NEODJ,16
4ACT+4T,16
DOXOCICLO+TAXO,16
TRASTU/CAR/DOCE,16
carbo,16
AC AC,16
DOCETDOCET,16
4AC/T,16
CDDP/TAXOL,16
"ARIMIDEX, HERCE",16
XELOX+ZOMETA,16
DOCE+CTX,16
HERCEPTIM/ACT,16
PERTUZUMABE (PE,16
AC-T(DOXO+CICLO,16
ANAST+HERCEPTIN,16
"PACLITAXEL, ACT",16
ACT+TZT,16
zomet,16
AC-TAOT+HERCEPT,16
CICLOF/DOCETAXE,16
DOCETAXELPACLIT,16
TAXOL+ HCT,16
CICLOFOSFANIDA+,16
AC-T34+046),16
DOCE+TRAS+PERT,16
TAXOLHERCEPTI,16
CARBCARB + TAX,16
DOXO+DOCE+CICLO,16
A.T.,16
AT+T,16
4ACDD,16
DOXO+CDDP,16
"CTX,CARBO/TAXO",16
AC +TXT + HERC,16
AC TXT H,16
AC-TH+HERCEPTIN,16
carboplatinapac,16
DOCEAXEL+CARBO,16
DocetaxelCiclo,16
4AC+4TH,16
AC/TXT/HERCEPTI,16
AC +TXT +-HCPT,16
AC-4,16
4AC 4T,16
"AC, ZOMETA",16
PTX+AC+HERCPTIN,16
TRASTU/PACLITAX,16
PACLITAXEL/AC/T,16
ADM+ CTX,15
AC +TXT + Herc,15
AC +DO,15
XELODA/OSTAC,15
AC-taxol,15
"TAXOL, CMF",15
TAX+CARBO,15
DOXO+ CICLO +,15
fac t,15
CT ADJUVANTE HC,15
AC/GRANULOKINE,15
TAXOLHERCEPT,15
DOCETAXELAC,15
CICLO/TAXOL,15
DOCETAXEL - TXT,15
"TXT,HERCEPTIN",15
FEC80,15
AC+ADM,15
T+H,15
ANASTROZ+HERCEP,15
DOCE+TRASTU,15
FAC+TAXOTERE+HE,15
AC SEGUIDO DE D,15
ACT/TASTUZUMABE,15
taxoltrastuzuma,15
AC+ TXT/HERCEP,15
AC CAT,15
DOXORRUB/CICLOF,15
HERCERPTIN,15
DOXO+,15
DOXURRUBICINA+C,15
AC-T+TRAST,15
AC >TXT,15
AC SEUIDOTAXANE,15
4 AC+ 12 PTX,14
ZOLA+ANASTR,14
AC do,14
DOXU,14
AC /BOTAXOL,14
TRASTU/CAR/TAXO,14
CARBO+TRAST+PAC,14
DOC+CAR+TR,14
FAC/ZOMETA,14
"TAXOL,AC,CARBO,",14
TAMOXN,14
"HERCEPTIN, ANAS",14
ACT/TXT,14
CARBO+ PACLITA,14
CISPL,14
COCLOFOSFAMIDA+,14
DOCETA CICLOS,14
CISPLATINA+DOXO,14
carboplatina+pa,14
HERCEPTIN/TAXOT,14
Docetaxel,14
GENCITA+CISPLAT,14
adriamicina+cic,14
AC-T+ TRASTUZU,14
CT/AC,14
DOXO/CICLO/PACL,14
ac-taotere,14
FLOXNËRDICO,14
AC/TAXANO,14
aact,14
TaxolAc,14
12T+4AC,14
HERCEPTIN/PACL,14
LEUPRORRELINA,14
AC (DOXORRUBICI,14
AC +CARBO + TA,14
"AC, HERCEPTIM",14
CLORIDRATO CARB,14
CMF CLASSICO,14
PACLITAXEL+CICL,14
acx4+txtx4,14
AC-TRASTUZUMABE,14
"AT,GEMZAR,TAGAM",14
CICLO/DOXO/FILG,14
TRASTUZUMABE/TA,14
4AC-T,14
evota,14
TAXOL+HERC+CARB,14
5FU,14
AC+T.,14
PACLITAXEL CARB,14
TRASTU/CARBO/DO,14
HERCEP+FASLODEX,14
ACT TRASTUZUMAB,14
FLUOCICLO FARM,14
TUZUMABE+GENCIT,14
4AC 4TAXOL,14
069DOCETAXEL+03,14
PACLITAXEL+FEC+,14
VINORELBINA,14
DOCE+PACLI,14
"CMF,HERCEPTIN,",14
DOCE/CIS,14
CICLO/DOXO/DOCE,14
TAXOL330MG,14
GEN/CIS,14
DOCE+CICLO+TRAS,14
"CARBO,TAXOL,AC",14
HERCEPTIN/DOCEL,14
AC +TXT + herc,14
AC+PTX+CARBO,14
TC 6X,14
AC-TAOT,14
DOCE+HERC+PERT,14
AC +AC + DOCET,14
HERCEP+PACLITAX,14
DTX+CARBO,14
AC/CARBOTAXOL,14
CARB+PACLI,14
T+TRASTUZUMABE,13
HERCEPTINPACLIT,13
DOCECARBO,13
AC -OL,13
CAPE,13
TRASTU+DOCE,13
TXT ehcpt,13
TRATUZUMABE,13
ACT DOX CICLO N,13
CICLOF/DOXOR,13
"AC, CARBO, DOCE",13
DC_AC,13
EPIRUBICINA+CIC,13
CNF,13
TxT,13
CICLOS,13
"CICLO, DOXO",13
A+T,13
AC-TXT+herctp,13
5FU/CDDP,13
DOXO+CICLOFOSF,13
AC X4- TXT X4,13
PACLI+TRAS,13
"AC, CISPLATINA",13
"CARBO/ TAXOL,",12
ACXT,12
CICLOFOSFA+TAXO,12
TRASTIZUMABE AD,12
AC/DAC,12
AC /OL,12
TAXOL+CAPECITA,12
AC-I,12
ACT(ADRIAMICINA,12
TAXOL/HERCEP,12
CICLIFOSFAMIDA,12
Ac+Trastuzuambe,12
CAPECAPECITABIN,12
FEC-T,12
Ciclifosfamida+,12
AC-TP,12
CTX DO FU,12
PLACT,12
TAXOL262MG,12
Taxol+Trastuzua,12
T CH,12
CA+PACLITAXEL,12
TAXOTERA + CARB,12
Fluorulacila+Ox,12
TAX +CARBO,12
ANASTROZOL/TRAS,12
LEUP+ANS,12
Paclitaxel656mg,12
HERC+DOCE+CARBO,12
ACTINO,12
ac d,12
Cliclofosfamida,12
DOCET+CICLO,12
DECETAXEL,12
HAPA,12
PCT +DOXO + CT,12
ciclofosfamida+,12
TRASTUZUM/DOCE,12
AC-TH(DOCETAXEL,12
TAXOL+HERAPTIN,12
doce/iclo,12
CMF+TRASTUZUMAB,12
DOCE/TRASTUZUM,12
PCT CARBO,12
AC CTH,12
AC-CICLOFOS/DOX,12
"TAXOL, AC, CICL",12
"AC,CARBOPLATINA",12
CARBO/DOXE,12
"DOXO,CICLOFOSF",12
Tamoxifeno(037),12
PACLITAXEL CAR,12
AC-THRCEPTIN,12
TRAS/CAR/DOCE,12
CISPLA+GENCITAB,12
doce+pam,12
DOXORR/CTD,12
CICLO/DOXO/FOLI,12
LET,12
ACT*08CICLOS,12
ANASTRASOL,12
PACLAC,12
XELODA+PAMIDRON,12
"AC,DOCETAXEL /",12
Trastuzumabe+Ac,12
HERCEPTIN/AC,12
ac-doetaxel,12
ac-doetacxel,12
DOCETAXE,12
CICLOF,12
PACITAXEL+AC,12
NEO,12
4AC +,12
AC-TMX,12
DOCETAXEL/HERC,12
046DOXO+034CICL,12
CISPLA+GEMCI+ZO,12
AC/TRASTUZUMABE,12
TC/ HCEPTIN,12
AC- P,12
POLIQT,12
"PACLITAXEL,TRAZ",12
AN,12
EXT,12
DOCECICLOS,12
HERCPTIN,12
PACLITA+TRASTUZ,12
PACLI+ HERCEPT,12
AC/DOCET,12
Ciclo+Doxo+Pacl,12
PACLITAXELTRATS,12
TAXOLHERCETIN,12
DOCE+HERC+PERTU,12
CDDP+5FU,12
CAPE+PACLI+ZOME,12
HERCEPTIN/DOC,12
AC/CICLO,12
ADRIA/FU,12
DOCETAXELCARBOP,12
DCT TRASTUZUMAB,12
DOCE+HERC+CARBO,12
AC- TOCETAXEL),12
Taxol_ trastuz,12
DOXO+CICLOSFAMI,12
DOXO+CICLO+PAC,12
TAXOL/HERCE,12
Arimidex1mg,12
"GEMZAR, CARBOPL",12
hercep,12
CA/TX,12
DOCEARBOHERCEP,12
AREDIA+TAXOL,12
ADRIA+CICLO+TA,12
46+34+120+29,12
DOXOCICL PACLI,12
CARBODOCETA,12
TAXOTERE+CICLOF,12
ZOLADEX LA,12
TAXOL- AC,12
A C D,12
"CTX,ZOLADEX, D",12
TAXOL+4AC,12
"CICLOF,",12
PACLITAXEL/CLOD,12
ac-TH,12
GCT,12
AC -PACLI,12
DOXORRU CICLOS,12
FLUOR/CICLO/MTX,12
AC/T/TRASTUZUM,12
DOCE/TAXEL/CARB,12
CICLOADRIA,12
ACT +H,12
AC-T/RCEPTIN516,12
ANAST+ZOLA,12
PCT/C,12
AC-THOCETAXEL,12
CarboDocetaxelT,12
ANSTRAZOL,12
Docetaxel+Trast,12
TAXOL-ACDD,12
HERCEPTIN+PACLI,12
DOCE/CARBO/TAXO,12
120+29,12
CARBO+ DOCE,12
ZMT+ANASTROZOL,12
DOCETAXEL/ CICL,12
ZMT+FASLO+LETRO,12
ADRIB/GENU/TAXO,12
AC+TA,12
CICLOF+DOXORRUB,12
CICLOFOS + METO,12
Taxol+Trastu,12
PERJETA/DOC/HER,12
"CARBO+TAXOL,AC",12
ACT NEO,12
AC _,12
CICLOFOSFAMIDAH,12
4ACdd12THP,12
"TAXOL,AC,4AC,4T",12
CICLO+5FU+METRO,12
DOCE/TAXOL,12
TXT+TRANST+PERT,12
TAXOL+HER+CARB,12
TRASTU+CARB+TAX,12
doxorrubicinatr,12
TRASTU/CARBO/TA,12
ADRIAMICINA/HER,12
AT -,12
HERCEPTINCICLO,12
CARBO/DOC,12
docetaxelciclof,12
TRASTUZUMBEANA,12
"DOCET, TRAS",12
PACLI+ TRANS,12
Capecitabina500,12
DOCETAXEL+HERC,12
AC+Trastu,12
AC TNEO,12
DOXOCTX,12
anastrozol+herc,12
CARBOEDOCETAXEL,12
Fluoruracila,12
TRASTUDCT,12
ACSS-H,12
ZMT+FASLO+LETR,12
"CICLOFO,",12
"TAXILAN, HERCEP",12
HERC/CARB/TAXOL,12
PACLI/TRASTUZU,12
"TRAST, LE",12
Trtastuzumabe+P,12
DOXOCICPAC CARB,12
PACLI/TRASTUZUM,12
4AT,12
AC TCX,12
EPIRRU DEXA OND,12
CARBO+GEMZAR,12
ADRIA/DOCETAXEL,12
ZOLA+ANAS,12
TAXOTERE/GENZAR,12
ADRIBLAS+GENUXA,12
PaclitaxelHerc,12
4AC/TC,12
ciclotaxol,12
DOXORRU+CICLO,12
CARB+PAC,12
AC=>T,12
CIT DE TAMOXIFE,12
DCHP,12
4 ACDD+12PTX,12
DOXO+HERCEPTIN,12
ALT,12
DOXO/ERCEPTIN,12
TAXOL+TRAST+PER,12
TAXOL ZOLADEX,12
DOX+CICL,12
AC +AC + T,12
CARBOTAXEL,12
ZOLA+ANASTRO,12
GENUXAL+DOX,12
"CARBO, ADRIBLAS",12
"GRANULOKINE, DO",12
4ac+4t,12
doce+ carbo,12
doxo/erceptin,12
ZMT+ANAST,12
CAPECITAB,12
TAMOXIF/ZOLADEX,12
TAXOL ADRIA,12
TC+AREDIA,12
TRASTUZUMABEPCT,12
CARBO/DOCETAX,12
Taxol+Trastuzum,12
XELO+TRAST,12
TX/HERCEPTIN,12
CARBOPLATINADOC,12
4AC-4D,12
4ac,12
CICLOSFAMIDA A,12
HERCEP,12
ACT-T,12
TRASTUZUMABE+CA,12
CICLO/TAXOL/DOX,12
"CISPLATINA, GEN",12
6FAC,12
CARBO+ TXT,12
Taxol+HCP,12
CARBOEPACLITAXE,12
GOSSERRELINA 10,12
TAXOL+HERCEPT,12
"DOCETAXEL, GRAN",12
CICLOFOSFOMIDA,12
TAXOL+ZOMETA,12
SFU CTX,12
PLACITAVEL,12
ACdd-C,12
GENZAR + CISPLA,12
Xelod,12
DOXO+TAXOL,12
"AC,GRANUL",12
GENUXAL/DOXO/5F,12
GEMZA,12
CTX+5FU+ADRIA,12
Doce+Carbo,12
CISPLATINA/EPI,12
FAC E,12
TXT/HERCEP,12
CARBO/,12
"CICLO,DOXO,FU",12
FAC+,12
CMFCMF,12
CTX+ADRIA,12
TaxolHerceptin4,12
DOCETAXEL + CAR,12
T-ACDD,12
DOCEPERJETA/HE,12
FAC e,12
FAC3x,12
Facx3,12
EP/CDDP,12
ZOMETA+TAXOL,12
Ciclo+Doxo+Tras,12
DOCE+CICLO+GCSF,12
5FU/EPIRRUBICIN,12
AC SEGUIDO DE P,12
Ciclo+Adria,12
FEC+TAXOL,12
herecpetin,12
CARBO/PACLI/AC,12
TRASTUZUMABE/DO,12
FEC +D,12
ADRIAMICINA/DEX,12
CICLO/DOCE/GRAN,12
TCH+GCSF,12
Adriblastina+Ci,12
TAXOLSEM - AC,12
TAXOTER/CARBO,12
TAXOTERE + EPI,12
AC TXT HERCEP,12
AC/TAXEL,12
"CDDP,AC,",12
AC /OLHERCEPTI,12
TRAST/TAXO/CARB,12
AC-txt,12
fac+txt,12
LEUPRO+ANS,12
TRAST/CARB/TAXO,12
DOCETAXEL/CDDP,12
AC-T/ TXT,12
T+XELODA,12
XELODA+HERCEPTI,12
DOCE/PER/HERCP,12
CTXDOCETAXEL,12
ADRIA+ CICLO,12
AC+ TXT H,12
ac +txt neo,12
AC+UT,12
taxol+ hcp,12
AC-T+HCP,12
HERCEPTIM+ANAST,12
AC+TAC+T,12
AC/TXT/HERCEP,12
"TRASTU,AC,TAXOL",12
NI,12
PACLITAXEL+DIFE,12
LUPRON,12
ac taxoter,12
"TXT,CTX",12
AC-TAXEL,12
ac tx,12
CICLO+DOCE+DOXO,12
paclitacel,12
CICLO5 FLURA,12
TC 4,12
ac doedensa,12
TxT +HCP,12
FILGASTRIMA,12
TRASTUZ/DCT/CB,12
AC+TACLITAXEL,12
CICLO/METO/FLUO,12
HERCEPTIN PERJE,12
12 TAXOL + 4AC,12
CARBO+HERCEPTIN,12
METO/CICLO/FLUO,12
TAXO/ADRIA/CICL,12
TAXOL136MG,12
ADRIA\CICLO,12
ac txt transt,12
ACT +FILGASTRI,12
ACT +GRANULOKI,12
TCH+CSF,12
CTX +,12
TG,12
CMF6,12
"HERCEPTIN, PTX",12
AC+TRASTUZUAMBE,12
AC/DOCE/HERCEPT,12
TAXOLHERCEPTIN5,12
TRASTU/TAXO/CAR,12
TXT EPI/FEC,12
DOCE/ERCEPTINPE,12
Exemes,12
AC-DRCEPTIN,12
PACL+TRAS,12
TRAST/DOCE,12
HERCEPTIN/LETR,12
4AC+12PTX+CARBO,12
CARBO/TRAST/DOC,12
HERCEPT/PACLITA,12
TXT+CARBO,12
AC +xoleCarbos,12
"CMF,PACLITAXEL,",12
"DOCETAXEL,4AC,",12
AC+TX+TRAS,12
ADRIBLASTI+CICL,12
AC TRCEPTIN,12
LEUPRORRELINA+A,12
AC x4TXT x4,12
t ac,12
AC CILODOXO,12
acTH,12
hpt xel,12
HERCEPTIN + ANA,12
CARBODOCETAXELT,12
ADRIA+CICLO+TRA,12
4C+4T,12
ac/cabotaxol,12
5FU+MITOXANTRON,12
FEC75,12
FNC,12
ac+ txt + hc,12
06,12
CICLO/DOXORRU,11
ACT/TRAS,11
CICLOFOS,11
AC-PCL,11
GEM+C,11
CTX DOXO 5FU,11
AC +DOXO + CIC,11
PACLIT+CARBO,11
5FU+AC,11
AC +TXT +- H,11
FU DOXO VTX,11
doxetaxel,11
CICLOFOSFAMIDAM,11
TRASTUZUMAB+PAC,11
PACLITAXEL AC (,11
hercepetin,11
TAXOT+HERCEPTIN,11
CISPLATINA/DOCE,11
AC +TXT + hcp,11
hercept,11
DOXORUBICINACIC,11
AC-TA,11
FAC T,11
ACT+CARBO,11
PTX+HERC,11
Txt +hcp,11
HERCEP+TAXOL,11
5FU+ADRIA+CICLO,11
GEM,11
Docetaxel75mgm²,11
CISPL+GENCI,11
DOCETAX/CICLOFO,11
AT GEMZAR TAGAM,10
"DOXO,TAGAMET",10
"CAP(CTX, CISP",10
"CARBO, DOCETAXE",10
"HERCEPTIN, DOXO",10
FEC T,10
AC--->TH,10
"AC, TAXOL, TRAS",10
AC /T,10
ADRIA/ CICLO,10
EC -TH,10
GZ+TAXOL,10
FILGA,10
TRASTUZUMABE+FI,10
"DOXORRUBICINA,P",10
4AC+4AT,10
TAXOL330 MG,10
TAXOL315 MG,10
DOCE/TRASTU/CAR,10
herceptin+TXT,10
AC/DOXETACEL,10
AC-DOCE+HERCEPT,10
HERCANASTROZOL,10
FAC__,10
CARBO+TAXO+ZOME,10
TCM,10
"CISPLATINA, ADR",10
ADR/CCLO,10
cispþ,10
